TIME,dpStatusNetworkReceiveDataThroughputInterfaceType,dpStatusNetworkReceiveDataThroughputInterfaceName,dpStatusNetworkReceiveDataThroughputTenSecondsBits,dpStatusNetworkReceiveDataThroughputOneMinuteBits,dpStatusNetworkReceiveDataThroughputTenMinutesBits,dpStatusNetworkReceiveDataThroughputOneHourBits,dpStatusNetworkReceiveDataThroughputOneDayBits
1579837629.366603,ethernet,eth1-vip,0,0,0,0,0
1579837629.366603,ethernet,eth2,12,12,12,12,12
1579837629.366603,ethernet,eth3,0,0,0,0,0
1579838229.90826,ethernet,eth0,14898,8496,6513,6568,66947
1579838229.90826,ethernet,eth0-vip,0,0,0,0,0
1579838229.90826,ethernet,eth1,4723,4968,3972,4612,75988
1579838229.90826,ethernet,eth1-vip,0,0,0,0,0
1579838229.90826,ethernet,eth2,13,12,12,12,12
1579838229.90826,ethernet,eth3,0,0,0,0,0
1579838830.420355,ethernet,eth0,1977,2214,4827,6648,67121
1579838830.420355,ethernet,eth0-vip,0,0,0,0,0
1579838830.420355,ethernet,eth1,4792,5047,4605,4448,75612
1579838830.420355,ethernet,eth1-vip,0,0,0,0,0
1579838830.420355,ethernet,eth2,12,12,12,12,12
1579838830.420355,ethernet,eth3,0,0,0,0,0
1579839430.885446,ethernet,eth0,1879,3160,3001,6183,67121
1579839430.885446,ethernet,eth0-vip,0,0,0,0,0
1579839430.885446,ethernet,eth1,4589,5228,4925,4340,75612
1579839430.885446,ethernet,eth1-vip,0,0,0,0,0
1579839430.885446,ethernet,eth2,13,12,12,12,12
1579839430.885446,ethernet,eth3,0,0,0,0,0
1579840031.399186,ethernet,eth0,3017,3140,58387,5574,67121
1579840031.399186,ethernet,eth0-vip,0,0,0,0,0
1579840031.399186,ethernet,eth1,5330,5372,5040,4234,75612
1579840031.399186,ethernet,eth1-vip,0,0,0,0,0
1579840031.399186,ethernet,eth2,13,12,12,12,12
1579840031.399186,ethernet,eth3,0,0,0,0,0
1579840631.855914,ethernet,eth0,2998,2881,3127,14288,67121
1579840631.855914,ethernet,eth0-vip,0,0,0,0,0
1579840631.855914,ethernet,eth1,5364,5663,5664,4412,75612
1579840631.855914,ethernet,eth1-vip,0,0,0,0,0
1579840631.855914,ethernet,eth2,13,12,12,12,12
1579840631.855914,ethernet,eth3,0,0,0,0,0
1579841232.324926,ethernet,eth0,2257,2830,3424,13760,67121
1579841232.324926,ethernet,eth0-vip,0,0,0,0,0
1579841232.324926,ethernet,eth1,6317,5681,61163,4702,75612
1579841232.324926,ethernet,eth1-vip,0,0,0,0,0
1579841232.324926,ethernet,eth2,12,12,12,12,12
1579841232.324926,ethernet,eth3,0,0,0,0,0
