TIME,dpStatusHTTPMeanTransactionTime2serviceClass,dpStatusHTTPMeanTransactionTime2proxy,dpStatusHTTPMeanTransactionTime2tenSeconds,dpStatusHTTPMeanTransactionTime2oneMinute,dpStatusHTTPMeanTransactionTime2tenMinutes,dpStatusHTTPMeanTransactionTime2oneHour,dpStatusHTTPMeanTransactionTime2oneDay
1579024867.736174,multiProtocolGateway,stats,0,0,0,0,0
1579025468.06392,multiProtocolGateway,CustomDomainsApiRouter,0,0,137,214,84
1579025468.06392,multiProtocolGateway,customDomains,95,101,91,91,67
1579025468.06392,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579025468.06392,multiProtocolGateway,mbaas_uri_to_host,114,129,120,107,124
1579025468.06392,multiProtocolGateway,stats,0,0,0,0,0
1579026068.390332,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,137,84
1579026068.390332,multiProtocolGateway,customDomains,148,114,95,92,67
1579026068.390332,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579026068.390332,multiProtocolGateway,mbaas_uri_to_host,80,92,141,112,124
1579026068.390332,multiProtocolGateway,stats,0,0,0,0,0
1579026668.708744,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,137,84
1579026668.708744,multiProtocolGateway,customDomains,73,95,88,92,67
1579026668.708744,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579026668.708744,multiProtocolGateway,mbaas_uri_to_host,53,94,105,116,124
1579026668.708744,multiProtocolGateway,stats,0,0,0,0,0
1579027269.03113,multiProtocolGateway,CustomDomainsApiRouter,0,0,58,137,76
1579027269.03113,multiProtocolGateway,customDomains,54,88,88,92,67
1579027269.03113,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579027269.03113,multiProtocolGateway,mbaas_uri_to_host,91,126,95,117,122
1579027269.03113,multiProtocolGateway,stats,0,0,0,0,0
1579027869.360626,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,111,76
1579027869.360626,multiProtocolGateway,customDomains,78,85,92,91,67
1579027869.360626,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579027869.360626,multiProtocolGateway,mbaas_uri_to_host,87,94,142,121,122
1579027869.360626,multiProtocolGateway,stats,0,0,0,0,0
1579028469.681492,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,111,76
1579028469.681492,multiProtocolGateway,customDomains,86,83,94,91,67
1579028469.681492,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579028469.681492,multiProtocolGateway,mbaas_uri_to_host,91,93,98,120,122
1579028469.681492,multiProtocolGateway,stats,0,0,0,0,0
1579029069.998603,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,59,76
1579029069.998603,multiProtocolGateway,customDomains,81,89,85,91,67
1579029069.998603,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579029069.998603,multiProtocolGateway,mbaas_uri_to_host,70,76,80,116,122
1579029069.998603,multiProtocolGateway,stats,0,0,0,0,0
1579029670.317735,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,58,76
1579029670.317735,multiProtocolGateway,customDomains,98,73,86,89,67
1579029670.317735,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579029670.317735,multiProtocolGateway,mbaas_uri_to_host,60,74,93,110,122
1579029670.317735,multiProtocolGateway,stats,0,0,0,0,0
1579030270.63616,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,58,76
1579030270.63616,multiProtocolGateway,customDomains,112,112,87,89,67
1579030270.63616,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579030270.63616,multiProtocolGateway,mbaas_uri_to_host,188,101,86,102,122
1579030270.63616,multiProtocolGateway,stats,0,0,0,0,0
1579030870.963795,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,58,79
1579030870.963795,multiProtocolGateway,customDomains,76,81,108,90,67
1579030870.963795,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579030870.963795,multiProtocolGateway,mbaas_uri_to_host,62,110,88,100,120
1579030870.963795,multiProtocolGateway,stats,0,0,0,0,0
1579031471.291154,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,79
1579031471.291154,multiProtocolGateway,customDomains,82,93,92,92,67
1579031471.291154,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579031471.291154,multiProtocolGateway,mbaas_uri_to_host,88,119,110,93,120
1579031471.291154,multiProtocolGateway,stats,0,0,0,0,0
1579032071.599035,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,79
1579032071.599035,multiProtocolGateway,customDomains,167,110,109,93,67
1579032071.599035,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579032071.599035,multiProtocolGateway,mbaas_uri_to_host,66,106,104,94,120
1579032071.599035,multiProtocolGateway,stats,0,0,0,0,0
1579032671.908016,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,79
1579032671.908016,multiProtocolGateway,customDomains,84,88,90,95,67
1579032671.908016,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579032671.908016,multiProtocolGateway,mbaas_uri_to_host,84,87,95,95,120
1579032671.908016,multiProtocolGateway,stats,0,0,0,0,0
1579033272.36478,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,79
1579033272.36478,multiProtocolGateway,customDomains,125,79,79,95,67
1579033272.36478,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579033272.36478,multiProtocolGateway,mbaas_uri_to_host,55,93,110,98,120
1579033272.36478,multiProtocolGateway,stats,0,0,0,0,0
1579033872.690094,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,79
1579033872.690094,multiProtocolGateway,customDomains,60,58,84,94,67
1579033872.690094,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579033872.690094,multiProtocolGateway,mbaas_uri_to_host,52,82,91,100,120
1579033872.690094,multiProtocolGateway,stats,0,0,0,0,0
1579034472.994641,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,101
1579034472.994641,multiProtocolGateway,customDomains,135,106,83,92,67
1579034472.994641,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579034472.994641,multiProtocolGateway,mbaas_uri_to_host,71,130,87,100,118
1579034472.994641,multiProtocolGateway,stats,0,0,0,0,0
1579035073.291094,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,101
1579035073.291094,multiProtocolGateway,customDomains,62,97,82,89,67
1579035073.291094,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579035073.291094,multiProtocolGateway,mbaas_uri_to_host,73,77,98,100,118
1579035073.291094,multiProtocolGateway,stats,0,0,0,0,0
1579035673.587693,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,101
1579035673.587693,multiProtocolGateway,customDomains,99,100,91,86,67
1579035673.587693,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579035673.587693,multiProtocolGateway,mbaas_uri_to_host,79,85,94,96,118
1579035673.587693,multiProtocolGateway,stats,0,0,0,0,0
1579036273.892762,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,101
1579036273.892762,multiProtocolGateway,customDomains,91,92,84,84,67
1579036273.892762,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579036273.892762,multiProtocolGateway,mbaas_uri_to_host,75,111,90,96,118
1579036273.892762,multiProtocolGateway,stats,0,0,0,0,0
