TIME,dpStatusHTTPTransactions2serviceClass,dpStatusHTTPTransactions2proxy,dpStatusHTTPTransactions2tenSeconds,dpStatusHTTPTransactions2oneMinute,dpStatusHTTPTransactions2tenMinutes,dpStatusHTTPTransactions2oneHour,dpStatusHTTPTransactions2oneDay
1579027869.325317,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579027869.325317,multiProtocolGateway,mbaas_uri_to_host,72,50,55,50,49
1579027869.325317,multiProtocolGateway,stats,0,0,0,0,0
1579028469.645561,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579028469.645561,multiProtocolGateway,customDomains,433,399,402,436,497
1579028469.645561,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579028469.645561,multiProtocolGateway,mbaas_uri_to_host,70,44,45,50,49
1579028469.645561,multiProtocolGateway,stats,0,0,0,0,0
1579029069.959739,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579029069.959739,multiProtocolGateway,customDomains,406,385,395,426,497
1579029069.959739,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579029069.959739,multiProtocolGateway,mbaas_uri_to_host,76,48,47,50,49
1579029069.959739,multiProtocolGateway,stats,0,0,0,0,0
1579029670.269674,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579029670.269674,multiProtocolGateway,customDomains,408,393,392,417,497
1579029670.269674,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579029670.269674,multiProtocolGateway,mbaas_uri_to_host,63,45,55,49,49
1579029670.269674,multiProtocolGateway,stats,0,0,0,0,0
1579030270.591651,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579030270.591651,multiProtocolGateway,customDomains,398,391,389,409,497
1579030270.591651,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579030270.591651,multiProtocolGateway,mbaas_uri_to_host,56,47,45,49,49
1579030270.591651,multiProtocolGateway,stats,0,0,0,0,0
1579030870.914106,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579030870.914106,multiProtocolGateway,customDomains,432,400,392,403,496
1579030870.914106,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579030870.914106,multiProtocolGateway,mbaas_uri_to_host,65,45,45,49,49
1579030870.914106,multiProtocolGateway,stats,0,0,0,0,0
1579031471.247312,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579031471.247312,multiProtocolGateway,customDomains,424,389,374,395,496
1579031471.247312,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579031471.247312,multiProtocolGateway,mbaas_uri_to_host,72,49,55,49,49
1579031471.247312,multiProtocolGateway,stats,0,0,0,0,0
1579032071.553614,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579032071.553614,multiProtocolGateway,customDomains,413,360,370,389,496
1579032071.553614,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579032071.553614,multiProtocolGateway,mbaas_uri_to_host,83,48,51,49,49
1579032071.553614,multiProtocolGateway,stats,0,0,0,0,0
1579032671.861585,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579032671.861585,multiProtocolGateway,customDomains,383,356,346,381,496
1579032671.861585,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579032671.861585,multiProtocolGateway,mbaas_uri_to_host,74,57,54,50,49
1579032671.861585,multiProtocolGateway,stats,0,0,0,0,0
1579033272.328272,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579033272.328272,multiProtocolGateway,customDomains,391,357,346,373,496
1579033272.328272,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579033272.328272,multiProtocolGateway,mbaas_uri_to_host,71,52,60,51,49
1579033272.328272,multiProtocolGateway,stats,0,0,0,0,0
1579033872.653936,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579033872.653936,multiProtocolGateway,customDomains,372,336,335,366,496
1579033872.653936,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579033872.653936,multiProtocolGateway,mbaas_uri_to_host,65,46,48,52,49
1579033872.653936,multiProtocolGateway,stats,0,0,0,0,0
1579034472.956156,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579034472.956156,multiProtocolGateway,customDomains,358,332,336,356,496
1579034472.956156,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579034472.956156,multiProtocolGateway,mbaas_uri_to_host,68,50,49,52,49
1579034472.956156,multiProtocolGateway,stats,0,0,0,0,0
1579035073.256606,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579035073.256606,multiProtocolGateway,customDomains,383,344,340,347,496
1579035073.256606,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579035073.256606,multiProtocolGateway,mbaas_uri_to_host,70,51,61,53,49
1579035073.256606,multiProtocolGateway,stats,0,0,0,0,0
1579035673.548795,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579035673.548795,multiProtocolGateway,customDomains,342,322,337,343,496
1579035673.548795,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579035673.548795,multiProtocolGateway,mbaas_uri_to_host,62,48,52,54,49
1579035673.548795,multiProtocolGateway,stats,0,0,0,0,0
1579036273.855533,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579036273.855533,multiProtocolGateway,customDomains,340,314,330,339,496
1579036273.855533,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579036273.855533,multiProtocolGateway,mbaas_uri_to_host,68,44,51,54,49
1579036273.855533,multiProtocolGateway,stats,0,0,0,0,0
1579036874.195282,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579036874.195282,multiProtocolGateway,customDomains,358,309,313,335,496
1579036874.195282,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579036874.195282,multiProtocolGateway,mbaas_uri_to_host,69,52,58,53,49
1579036874.195282,multiProtocolGateway,stats,0,0,0,0,0
1579037474.532868,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579037474.532868,multiProtocolGateway,customDomains,337,304,312,329,496
1579037474.532868,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579037474.532868,multiProtocolGateway,mbaas_uri_to_host,82,45,49,53,49
1579037474.532868,multiProtocolGateway,stats,0,0,0,0,0
1579038074.843677,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579038074.843677,multiProtocolGateway,customDomains,332,283,296,325,496
1579038074.843677,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579038074.843677,multiProtocolGateway,mbaas_uri_to_host,66,53,51,54,49
1579038074.843677,multiProtocolGateway,stats,0,0,0,0,0
1579038675.162755,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579038675.162755,multiProtocolGateway,customDomains,324,277,286,318,496
1579038675.162755,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579038675.162755,multiProtocolGateway,mbaas_uri_to_host,67,48,60,54,49
1579038675.162755,multiProtocolGateway,stats,0,0,0,0,0
1579039275.474514,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579039275.474514,multiProtocolGateway,customDomains,295,257,267,306,496
1579039275.474514,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579039275.474514,multiProtocolGateway,mbaas_uri_to_host,59,47,49,53,49
1579039275.474514,multiProtocolGateway,stats,0,0,0,0,0
1579039875.801281,multiProtocolGateway,CustomDomainsApiRouter,0,0,0,0,0
1579039875.801281,multiProtocolGateway,customDomains,224,261,264,295,496
1579039875.801281,multiProtocolGateway,deploySNIArtifacts,0,0,0,0,0
1579039875.801281,multiProtocolGateway,mbaas_uri_to_host,48,55,56,53,49
