TIME,dpStatusNetworkTransmitDataThroughputInterfaceType,dpStatusNetworkTransmitDataThroughputInterfaceName,dpStatusNetworkTransmitDataThroughputTenSecondsBits,dpStatusNetworkTransmitDataThroughputOneMinuteBits,dpStatusNetworkTransmitDataThroughputTenMinutesBits,dpStatusNetworkTransmitDataThroughputOneHourBits,dpStatusNetworkTransmitDataThroughputOneDayBits
1579826219.952907,ethernet,eth0-vip,0,0,0,0,0
1579826219.952907,ethernet,eth1,6986,7271,8571,18735,99123
1579826219.952907,ethernet,eth1-vip,0,0,0,0,0
1579826219.952907,ethernet,eth2,0,0,0,0,0
1579826219.952907,ethernet,eth3,0,0,0,0,0
1579826820.430602,ethernet,eth0,5098,5213,5370,16489,63957
1579826820.430602,ethernet,eth0-vip,0,0,0,0,0
1579826820.430602,ethernet,eth1,6787,6941,7549,18564,99123
1579826820.430602,ethernet,eth1-vip,0,0,0,0,0
1579826820.430602,ethernet,eth2,0,0,0,0,0
1579826820.430602,ethernet,eth3,0,0,0,0,0
1579827421.067193,ethernet,eth0,3939,4835,4980,7008,63957
1579827421.067193,ethernet,eth0-vip,0,0,0,0,0
1579827421.067193,ethernet,eth1,6031,6041,6846,18382,99123
1579827421.067193,ethernet,eth1-vip,0,0,0,0,0
1579827421.067193,ethernet,eth2,0,0,0,0,0
1579827421.067193,ethernet,eth3,0,0,0,0,0
1579828021.55598,ethernet,eth0,3699,4314,4497,6423,63609
1579828021.55598,ethernet,eth0-vip,0,0,0,0,0
1579828021.55598,ethernet,eth1,5339,5708,7334,17775,98608
1579828021.55598,ethernet,eth1-vip,0,0,0,0,0
1579828021.55598,ethernet,eth2,0,0,0,0,0
1579828021.55598,ethernet,eth3,0,0,0,0,0
1579828622.023952,ethernet,eth0,3602,561571,60166,5704,63609
1579828622.023952,ethernet,eth0-vip,0,0,0,0,0
1579828622.023952,ethernet,eth1,5175,5078,6726,17301,98608
1579828622.023952,ethernet,eth1-vip,0,0,0,0,0
1579828622.023952,ethernet,eth2,0,0,0,0,0
1579828622.023952,ethernet,eth3,0,0,0,0,0
1579829222.470392,ethernet,eth0,7657,8694,8490,14519,63609
1579829222.470392,ethernet,eth0-vip,0,0,0,0,0
1579829222.470392,ethernet,eth1,9857,10020,65084,7488,98608
1579829222.470392,ethernet,eth1-vip,0,0,0,0,0
1579829222.470392,ethernet,eth2,0,0,0,0,0
1579829222.470392,ethernet,eth3,0,0,0,0,0
1579829822.948922,ethernet,eth0,8637,9490,9472,14987,63609
1579829822.948922,ethernet,eth0-vip,0,0,0,0,0
1579829822.948922,ethernet,eth1,8921,9681,10802,17018,98608
1579829822.948922,ethernet,eth1-vip,0,0,0,0,0
1579829822.948922,ethernet,eth2,0,0,0,0,0
1579829822.948922,ethernet,eth3,0,0,0,0,0
1579830423.461848,ethernet,eth0,8673,8457,9100,15559,63609
1579830423.461848,ethernet,eth0-vip,0,0,0,0,0
1579830423.461848,ethernet,eth1,14952,10127,10776,17450,98608
1579830423.461848,ethernet,eth1-vip,0,0,0,0,0
1579830423.461848,ethernet,eth2,0,0,0,0,0
1579830423.461848,ethernet,eth3,0,0,0,0,0
1579831023.959724,ethernet,eth0,8819,8758,8700,16175,63609
1579831023.959724,ethernet,eth0-vip,0,0,0,0,0
1579831023.959724,ethernet,eth1,10127,9290,10084,18036,98608
1579831023.959724,ethernet,eth1-vip,0,0,0,0,0
1579831023.959724,ethernet,eth2,0,0,0,0,0
1579831023.959724,ethernet,eth3,0,0,0,0,0
1579831624.438338,ethernet,eth0,7314,9360,8606,16803,63625
1579831624.438338,ethernet,eth0-vip,0,0,0,0,0
1579831624.438338,ethernet,eth1,8588,10364,10194,18505,98526
1579831624.438338,ethernet,eth1-vip,0,0,0,0,0
1579831624.438338,ethernet,eth2,0,0,0,0,0
1579831624.438338,ethernet,eth3,0,0,0,0,0
1579832224.895837,ethernet,eth0,5305,5402,6585,17490,63625
1579832224.895837,ethernet,eth0-vip,0,0,0,0,0
1579832224.895837,ethernet,eth1,6488,10806,67326,19001,98526
1579832224.895837,ethernet,eth1-vip,0,0,0,0,0
1579832224.895837,ethernet,eth2,0,0,0,0,0
1579832224.895837,ethernet,eth3,0,0,0,0,0
1579832825.354672,ethernet,eth0,5880,5779,61380,8514,63625
1579832825.354672,ethernet,eth0-vip,0,0,0,0,0
1579832825.354672,ethernet,eth1,15342,11928,11196,29121,98526
1579832825.354672,ethernet,eth1-vip,0,0,0,0,0
1579832825.354672,ethernet,eth2,0,0,0,0,0
1579832825.354672,ethernet,eth3,0,0,0,0,0
1579833425.816211,ethernet,eth0,4096,4218,3916,17243,63625
1579833425.816211,ethernet,eth0-vip,0,0,0,0,0
1579833425.816211,ethernet,eth1,11329,9993,9365,20097,98526
1579833425.816211,ethernet,eth1-vip,0,0,0,0,0
1579833425.816211,ethernet,eth2,0,0,0,0,0
1579833425.816211,ethernet,eth3,0,0,0,0,0
1579834026.327007,ethernet,eth0,4297,4287,4173,16295,63625
1579834026.327007,ethernet,eth0-vip,0,0,0,0,0
1579834026.327007,ethernet,eth1,16250,11118,10074,19796,98526
1579834026.327007,ethernet,eth1-vip,0,0,0,0,0
1579834026.327007,ethernet,eth2,0,0,0,0,0
1579834026.327007,ethernet,eth3,0,0,0,0,0
1579834626.835003,ethernet,eth0,4233,4200,4025,15476,63625
1579834626.835003,ethernet,eth0-vip,0,0,0,0,0
1579834626.835003,ethernet,eth1,12148,9966,9833,19630,98526
1579834626.835003,ethernet,eth1-vip,0,0,0,0,0
1579834626.835003,ethernet,eth2,0,0,0,0,0
1579834626.835003,ethernet,eth3,0,0,0,0,0
1579835227.306361,ethernet,eth0,4168,4506,4213,14705,63996
1579835227.306361,ethernet,eth0-vip,0,0,0,0,0
1579835227.306361,ethernet,eth1,6525,9127,10679,19645,98633
1579835227.306361,ethernet,eth1-vip,0,0,0,0,0
1579835227.306361,ethernet,eth2,0,0,0,0,0
1579835227.306361,ethernet,eth3,0,0,0,0,0
1579835827.794078,ethernet,eth0,4955,4765,4402,13983,63996
1579835827.794078,ethernet,eth0-vip,0,0,0,0,0
1579835827.794078,ethernet,eth1,12739,10862,66204,19749,98633
1579835827.794078,ethernet,eth1-vip,0,0,0,0,0
1579835827.794078,ethernet,eth2,0,0,0,0,0
1579835827.794078,ethernet,eth3,0,0,0,0,0
1579836428.275424,ethernet,eth0,3009,3204,3381,13672,63996
1579836428.275424,ethernet,eth0-vip,0,0,0,0,0
1579836428.275424,ethernet,eth1,10521,7701,9289,19551,98633
1579836428.275424,ethernet,eth1-vip,0,0,0,0,0
1579836428.275424,ethernet,eth2,0,0,0,0,0
1579836428.275424,ethernet,eth3,0,0,0,0,0
1579837028.744141,ethernet,eth0,3194,2933,3197,3982,63996
1579837028.744141,ethernet,eth0-vip,0,0,0,0,0
1579837028.744141,ethernet,eth1,11331,9826,9432,19225,98633
1579837028.744141,ethernet,eth1-vip,0,0,0,0,0
1579837028.744141,ethernet,eth2,0,0,0,0,0
