TIME,dpStatusNetworkTransmitDataThroughputInterfaceType,dpStatusNetworkTransmitDataThroughputInterfaceName,dpStatusNetworkTransmitDataThroughputTenSecondsBits,dpStatusNetworkTransmitDataThroughputOneMinuteBits,dpStatusNetworkTransmitDataThroughputTenMinutesBits,dpStatusNetworkTransmitDataThroughputOneHourBits,dpStatusNetworkTransmitDataThroughputOneDayBits
1580221475.522218,ethernet,eth0-vip,0,0,0,0,0
1580221475.522218,ethernet,eth1,48813,45692,46585,111939,71041
1580221475.522218,ethernet,eth1-vip,0,0,0,0,0
1580221475.522218,ethernet,eth2,0,0,0,0,0
1580221475.522218,ethernet,eth3,0,0,0,0,0
1580222076.199733,ethernet,eth0,47626,43990,45034,107568,68087
1580222076.199733,ethernet,eth0-vip,0,0,0,0,0
1580222076.199733,ethernet,eth1,48201,45707,99536,109096,71041
1580222076.199733,ethernet,eth1-vip,0,0,0,0,0
1580222076.199733,ethernet,eth2,0,0,0,0,0
1580222076.199733,ethernet,eth3,0,0,0,0,0
1580222676.812345,ethernet,eth0,43343,42873,98463,105317,68087
1580222676.812345,ethernet,eth0-vip,0,0,0,0,0
1580222676.812345,ethernet,eth1,42512,43874,99175,97324,71041
1580222676.812345,ethernet,eth1-vip,0,0,0,0,0
1580222676.812345,ethernet,eth2,0,0,0,0,0
1580222676.812345,ethernet,eth3,0,0,0,0,0
1580223277.352327,ethernet,eth0,58154,47882,99960,94285,68087
1580223277.352327,ethernet,eth0-vip,0,0,0,0,0
1580223277.352327,ethernet,eth1,43547,44163,99105,94845,71041
1580223277.352327,ethernet,eth1-vip,0,0,0,0,0
1580223277.352327,ethernet,eth2,0,0,0,0,0
1580223277.352327,ethernet,eth3,0,0,0,0,0
1580223877.917497,ethernet,eth0,65900,63022,110177,93059,68087
1580223877.917497,ethernet,eth0-vip,0,0,0,0,0
1580223877.917497,ethernet,eth1,44682,45986,98794,92423,71041
1580223877.917497,ethernet,eth1-vip,0,0,0,0,0
1580223877.917497,ethernet,eth2,0,0,0,0,0
1580223877.917497,ethernet,eth3,0,0,0,0,0
1580224478.533801,ethernet,eth0,43852,41689,106219,94306,68288
1580224478.533801,ethernet,eth0-vip,0,0,0,0,0
1580224478.533801,ethernet,eth1,44029,40350,44450,91045,71050
1580224478.533801,ethernet,eth1-vip,0,0,0,0,0
1580224478.533801,ethernet,eth2,0,0,0,0,0
1580224478.533801,ethernet,eth3,0,0,0,0,0
1580225079.052964,ethernet,eth0,38329,38135,95726,93260,68288
1580225079.052964,ethernet,eth0-vip,0,0,0,0,0
1580225079.052964,ethernet,eth1,38812,38547,95294,90135,71050
1580225079.052964,ethernet,eth1-vip,0,0,0,0,0
1580225079.052964,ethernet,eth2,0,0,0,0,0
1580225079.052964,ethernet,eth3,0,0,0,0,0
1580225679.635019,ethernet,eth0,40405,40598,40869,92261,68288
1580225679.635019,ethernet,eth0-vip,0,0,0,0,0
1580225679.635019,ethernet,eth1,39648,39090,94685,79879,71050
1580225679.635019,ethernet,eth1-vip,0,0,0,0,0
1580225679.635019,ethernet,eth2,0,0,0,0,0
1580225679.635019,ethernet,eth3,0,0,0,0,0
1580226280.164311,ethernet,eth0,40502,36959,93366,91694,68288
1580226280.164311,ethernet,eth0-vip,0,0,0,0,0
1580226280.164311,ethernet,eth1,3311067,584623,38380,88233,71050
1580226280.164311,ethernet,eth1-vip,0,0,0,0,0
1580226280.164311,ethernet,eth2,0,0,0,0,0
1580226280.164311,ethernet,eth3,0,0,0,0,0
1580226880.790455,ethernet,eth0,39289,38042,93353,90632,68288
1580226880.790455,ethernet,eth0-vip,0,0,0,0,0
1580226880.790455,ethernet,eth1,38506,38267,93635,87183,71050
1580226880.790455,ethernet,eth1-vip,0,0,0,0,0
1580226880.790455,ethernet,eth2,0,0,0,0,0
1580226880.790455,ethernet,eth3,0,0,0,0,0
1580227481.334875,ethernet,eth0,38350,585276,39637,89131,68288
1580227481.334875,ethernet,eth0-vip,0,0,0,0,0
1580227481.334875,ethernet,eth1,37049,37878,94953,77302,71050
1580227481.334875,ethernet,eth1-vip,0,0,0,0,0
1580227481.334875,ethernet,eth2,0,0,0,0,0
1580227481.334875,ethernet,eth3,0,0,0,0,0
1580228081.869812,ethernet,eth0,36820,36663,92665,85623,68646
1580228081.869812,ethernet,eth0-vip,0,0,0,0,0
1580228081.869812,ethernet,eth1,35149,35695,92826,76361,71045
1580228081.869812,ethernet,eth1-vip,0,0,0,0,0
1580228081.869812,ethernet,eth2,0,0,0,0,0
1580228081.869812,ethernet,eth3,0,0,0,0,0
1580228682.502771,ethernet,eth0,33038,36455,91655,75622,68646
1580228682.502771,ethernet,eth0-vip,0,0,0,0,0
1580228682.502771,ethernet,eth1,31080,34090,36944,75626,71045
1580228682.502771,ethernet,eth1-vip,0,0,0,0,0
1580228682.502771,ethernet,eth2,0,0,0,0,0
1580228682.502771,ethernet,eth3,0,0,0,0,0
1580229283.133365,ethernet,eth0,42201,584561,36865,74927,68646
1580229283.133365,ethernet,eth0-vip,0,0,0,0,0
1580229283.133365,ethernet,eth1,40794,37140,89654,74843,71045
1580229283.133365,ethernet,eth1-vip,0,0,0,0,0
1580229283.133365,ethernet,eth2,0,0,0,0,0
1580229283.133365,ethernet,eth3,0,0,0,0,0
1580229883.716469,ethernet,eth0,38604,35195,90594,74322,68646
1580229883.716469,ethernet,eth0-vip,0,0,0,0,0
1580229883.716469,ethernet,eth1,37371,585793,35352,74166,71045
1580229883.716469,ethernet,eth1-vip,0,0,0,0,0
1580229883.716469,ethernet,eth2,0,0,0,0,0
1580229883.716469,ethernet,eth3,0,0,0,0,0
1580230484.174533,ethernet,eth0,36049,36137,92294,74011,68646
1580230484.174533,ethernet,eth0-vip,0,0,0,0,0
1580230484.174533,ethernet,eth1,37987,37835,95354,73979,71045
1580230484.174533,ethernet,eth1-vip,0,0,0,0,0
1580230484.174533,ethernet,eth2,0,0,0,0,0
1580230484.174533,ethernet,eth3,0,0,0,0,0
1580231086.600889,ethernet,eth0,38095,37648,36497,73666,68646
1580231086.600889,ethernet,eth0-vip,0,0,0,0,0
1580231086.600889,ethernet,eth1,41188,38372,94038,74111,71045
1580231086.600889,ethernet,eth1-vip,0,0,0,0,0
1580231086.600889,ethernet,eth2,0,0,0,0,0
1580231086.600889,ethernet,eth3,0,0,0,0,0
1580231690.095206,ethernet,eth0,36840,38273,92265,73317,68596
1580231690.095206,ethernet,eth0-vip,0,0,0,0,0
1580231690.095206,ethernet,eth1,39656,42949,93984,74082,70587
1580231690.095206,ethernet,eth1-vip,0,0,0,0,0
1580231690.095206,ethernet,eth2,0,0,0,0,0
1580231690.095206,ethernet,eth3,0,0,0,0,0
1580232290.828025,ethernet,eth0,36793,34821,91078,73329,68596
1580232290.828025,ethernet,eth0-vip,0,0,0,0,0
1580232290.828025,ethernet,eth1,40335,38063,39859,74396,70587
1580232290.828025,ethernet,eth1-vip,0,0,0,0,0
1580232290.828025,ethernet,eth2,0,0,0,0,0
1580232290.828025,ethernet,eth3,0,0,0,0,0
1580232891.530252,ethernet,eth0,31004,34115,35364,73291,68596
1580232891.530252,ethernet,eth0-vip,0,0,0,0,0
1580232891.530252,ethernet,eth1,28471,34807,92318,84120,70587
1580232891.530252,ethernet,eth1-vip,0,0,0,0,0
1580232891.530252,ethernet,eth2,0,0,0,0,0
1580232891.530252,ethernet,eth3,0,0,0,0,0
1580233492.123491,ethernet,eth0,28721,31090,88234,72787,68596
1580233492.123491,ethernet,eth0-vip,0,0,0,0,0
1580233492.123491,ethernet,eth1,25859,34357,91003,75062,70587
1580233492.123491,ethernet,eth1-vip,0,0,0,0,0
1580233492.123491,ethernet,eth2,0,0,0,0,0
1580233492.123491,ethernet,eth3,0,0,0,0,0
1580234092.718633,ethernet,eth0,33444,31357,86989,72246,68596
1580234092.718633,ethernet,eth0-vip,0,0,0,0,0
1580234092.718633,ethernet,eth1,39296,34903,35426,74935,70587
1580234092.718633,ethernet,eth1-vip,0,0,0,0,0
1580234092.718633,ethernet,eth2,0,0,0,0,0
1580234092.718633,ethernet,eth3,0,0,0,0,0
1580234693.380377,ethernet,eth0,31068,29850,31473,71474,68596
