TIME,dpStatusNetworkTransmitDataThroughputInterfaceType,dpStatusNetworkTransmitDataThroughputInterfaceName,dpStatusNetworkTransmitDataThroughputTenSecondsBits,dpStatusNetworkTransmitDataThroughputOneMinuteBits,dpStatusNetworkTransmitDataThroughputTenMinutesBits,dpStatusNetworkTransmitDataThroughputOneHourBits,dpStatusNetworkTransmitDataThroughputOneDayBits
1579033272.532023,ethernet,eth1-vip,0,0,0,0,0
1579033272.532023,ethernet,eth2,0,0,0,0,0
1579033272.532023,ethernet,eth3,0,0,0,0,0
1579033872.831032,ethernet,eth0,20445,19905,20128,41070,67894
1579033872.831032,ethernet,eth0-vip,0,0,0,0,0
1579033872.831032,ethernet,eth1,22256,572678,79872,55143,89640
1579033872.831032,ethernet,eth1-vip,0,0,0,0,0
1579033872.831032,ethernet,eth2,0,0,0,0,0
1579033872.831032,ethernet,eth3,0,0,0,0,0
1579034473.136413,ethernet,eth0,19258,19583,75517,49297,67894
1579034473.136413,ethernet,eth0-vip,0,0,0,0,0
1579034473.136413,ethernet,eth1,21929,24303,24403,54488,89640
1579034473.136413,ethernet,eth1-vip,0,0,0,0,0
1579034473.136413,ethernet,eth2,0,0,0,0,0
1579034473.136413,ethernet,eth3,0,0,0,0,0
1579035073.430085,ethernet,eth0,20870,20338,20389,39519,67894
1579035073.430085,ethernet,eth0-vip,0,0,0,0,0
1579035073.430085,ethernet,eth1,29521,27769,24355,54206,89640
1579035073.430085,ethernet,eth1-vip,0,0,0,0,0
1579035073.430085,ethernet,eth2,0,0,0,0,0
1579035073.430085,ethernet,eth3,0,0,0,0,0
1579035673.740077,ethernet,eth0,18028,571807,77015,39200,67502
1579035673.740077,ethernet,eth0-vip,0,0,0,0,0
1579035673.740077,ethernet,eth1,24140,23039,81959,53840,89616
1579035673.740077,ethernet,eth1-vip,0,0,0,0,0
1579035673.740077,ethernet,eth2,0,0,0,0,0
1579035673.740077,ethernet,eth3,0,0,0,0,0
1579036274.049919,ethernet,eth0,18564,18762,19197,48315,67502
1579036274.049919,ethernet,eth0-vip,0,0,0,0,0
1579036274.049919,ethernet,eth1,25472,23680,24804,53313,89616
1579036274.049919,ethernet,eth1-vip,0,0,0,0,0
1579036274.049919,ethernet,eth2,0,0,0,0,0
1579036274.049919,ethernet,eth3,0,0,0,0,0
1579036874.385199,ethernet,eth0,18876,17664,18261,38713,67502
1579036874.385199,ethernet,eth0-vip,0,0,0,0,0
1579036874.385199,ethernet,eth1,27274,22586,78831,52743,89616
1579036874.385199,ethernet,eth1-vip,0,0,0,0,0
1579036874.385199,ethernet,eth2,0,0,0,0,0
1579036874.385199,ethernet,eth3,0,0,0,0,0
1579037474.720996,ethernet,eth0,17712,570897,73515,38191,67502
1579037474.720996,ethernet,eth0-vip,0,0,0,0,0
1579037474.720996,ethernet,eth1,19139,23461,23672,52051,89616
1579037474.720996,ethernet,eth1-vip,0,0,0,0,0
1579037474.720996,ethernet,eth2,0,0,0,0,0
1579037474.720996,ethernet,eth3,0,0,0,0,0
1579038075.034225,ethernet,eth0,17860,16033,17046,37859,67502
1579038075.034225,ethernet,eth0-vip,0,0,0,0,0
1579038075.034225,ethernet,eth1,24065,21087,77340,42949,89616
1579038075.034225,ethernet,eth1-vip,0,0,0,0,0
1579038075.034225,ethernet,eth2,0,0,0,0,0
1579038075.034225,ethernet,eth3,0,0,0,0,0
1579038675.346207,ethernet,eth0,16917,15567,16513,37306,67502
