TIME,dpStatusNetworkReceiveDataThroughputInterfaceType,dpStatusNetworkReceiveDataThroughputInterfaceName,dpStatusNetworkReceiveDataThroughputTenSecondsBits,dpStatusNetworkReceiveDataThroughputOneMinuteBits,dpStatusNetworkReceiveDataThroughputTenMinutesBits,dpStatusNetworkReceiveDataThroughputOneHourBits,dpStatusNetworkReceiveDataThroughputOneDayBits
1581015968.43282,ethernet,eth3,0,0,0,0,0
1581016568.931195,ethernet,eth0,13181,15218,14562,39306,66933
1581016568.931195,ethernet,eth0-vip,0,0,0,0,0
1581016568.931195,ethernet,eth1,33314,580160,31301,76135,90216
1581016568.931195,ethernet,eth1-vip,0,0,0,0,0
1581016568.931195,ethernet,eth2,12,12,12,12,12
1581016568.931195,ethernet,eth3,0,0,0,0,0
1581017169.462448,ethernet,eth0,13832,14347,68626,37145,66933
1581017169.462448,ethernet,eth0-vip,0,0,0,0,0
1581017169.462448,ethernet,eth1,33168,31794,86268,73539,90216
1581017169.462448,ethernet,eth1-vip,0,0,0,0,0
1581017169.462448,ethernet,eth2,12,12,12,12,12
1581017169.462448,ethernet,eth3,0,0,0,0,0
1581017770.003059,ethernet,eth0,13855,12276,13327,35449,66933
1581017770.003059,ethernet,eth0-vip,0,0,0,0,0
1581017770.003059,ethernet,eth1,32232,30798,86175,62588,90216
1581017770.003059,ethernet,eth1-vip,0,0,0,0,0
1581017770.003059,ethernet,eth2,12,12,12,12,12
1581017770.003059,ethernet,eth3,0,0,0,0,0
1581018370.554786,ethernet,eth0,10187,14513,14291,34286,66933
1581018370.554786,ethernet,eth0-vip,0,0,0,0,0
1581018370.554786,ethernet,eth1,33030,30928,30528,70175,90216
1581018370.554786,ethernet,eth1-vip,0,0,0,0,0
1581018370.554786,ethernet,eth2,12,12,12,12,12
1581018370.554786,ethernet,eth3,0,0,0,0,0
1581018971.125346,ethernet,eth0,8345,11862,13980,24225,66933
1581018971.125346,ethernet,eth0-vip,0,0,0,0,0
1581018971.125346,ethernet,eth1,31298,28311,83756,59794,90216
1581018971.125346,ethernet,eth1-vip,0,0,0,0,0
1581018971.125346,ethernet,eth2,12,12,12,12,12
1581018971.125346,ethernet,eth3,0,0,0,0,0
1581019571.621159,ethernet,eth0,13019,15993,68931,23409,67103
1581019571.621159,ethernet,eth0-vip,0,0,0,0,0
1581019571.621159,ethernet,eth1,30897,27316,28131,58373,90283
1581019571.621159,ethernet,eth1-vip,0,0,0,0,0
1581019571.621159,ethernet,eth2,12,12,12,12,12
1581019571.621159,ethernet,eth3,0,0,0,0,0
1581020172.117901,ethernet,eth0,13029,13701,13038,32180,67103
1581020172.117901,ethernet,eth0-vip,0,0,0,0,0
1581020172.117901,ethernet,eth1,29237,28181,81934,57264,90283
1581020172.117901,ethernet,eth1-vip,0,0,0,0,0
1581020172.117901,ethernet,eth2,12,12,12,12,12
1581020172.117901,ethernet,eth3,0,0,0,0,0
1581020772.683237,ethernet,eth0,7857,7492,8869,31828,67103
1581020772.683237,ethernet,eth0-vip,0,0,0,0,0
1581020772.683237,ethernet,eth1,28330,27527,26593,56672,90283
1581020772.683237,ethernet,eth1-vip,0,0,0,0,0
